"Indikator","Ausprägung","Jahr","Räumliche Gliederung","Indikatorwert","Basiswert 1","Basiswert 2","Basiswert 3","Basiswert 4","Basiswert 5","Name Basiswert 1","Name Basiswert 2","Name Basiswert 3","Name Basiswert 4","Name Basiswert 5"
"Religionszugehörigkeit","evangelisch","2017","Stadt München","11.4","174692","1526056","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2017","01 Altstadt - Lehel","12.6","2631","20926","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2017","02 Ludwigsvorstadt - Isarvorstadt","11.7","6033","51632","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2017","03 Maxvorstadt","13.7","7004","51311","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2017","04 Schwabing - West","14","9555","68265","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2017","05 Au - Haidhausen","12.4","7553","60937","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2017","06 Sendling","11.3","4597","40682","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2017","07 Sendling - Westpark","10.8","6399","59386","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2017","08 Schwanthalerhöhe","9.8","2894","29535","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2017","09 Neuhausen - Nymphenburg","12.6","12417","98520","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2017","10 Moosach","9.7","5181","53662","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2017","11 Milbertshofen - Am Hart","8.4","6270","74731","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2017","12 Schwabing - Freimann","12","9182","76341","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2017","13 Bogenhausen","13.2","11391","85971","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2017","14 Berg am Laim","9.2","4195","45582","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2017","15 Trudering - Riem","11.7","8395","72006","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2017","16 Ramersdorf - Perlach","9.1","10467","114478","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2017","17 Obergiesing - Fasangarten","10.1","5439","53937","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2017","18 Untergiesing - Harlaching","13.2","6958","52600","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2017","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln","12.3","11741","95554","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2017","20 Hadern","11.3","5606","49626","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2017","21 Pasing - Obermenzing","13.6","10073","74098","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2017","22 Aubing - Lochhausen - Langwied","10.2","4724","46385","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2017","23 Allach - Untermenzing","12","3918","32677","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2017","24 Feldmoching - Hasenbergl","9.4","5718","60933","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2017","25 Laim","11.3","6351","56281","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2016","Stadt München","11.6","178943","1542860","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2016","01 Altstadt - Lehel","12.6","2704","21454","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
"Religionszugehörigkeit","evangelisch","2016","02 Ludwigsvorstadt - Isarvorstadt","11.4","6234","54915","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","",""
